Category,Rating,Reviews
WEATHER,5.0,353741.0
WEATHER,4.0,14250839.0
WEATHER,3.0,115.0
VIDEO_PLAYERS,5.0,20061865.0
VIDEO_PLAYERS,4.0,89919857.0
VIDEO_PLAYERS,3.0,397783.0
VIDEO_PLAYERS,2.0,187.0
TRAVEL_AND_LOCAL,5.0,7594776.0
TRAVEL_AND_LOCAL,4.0,54981837.0
TRAVEL_AND_LOCAL,3.0,40170.0
TRAVEL_AND_LOCAL,2.0,989.0
TOOLS,5.0,123828545.0
TOOLS,4.0,149081403.0
TOOLS,3.0,262186.0
TOOLS,2.0,7998.0
TOOLS,1.0,26.0
SPORTS,5.0,14851908.0
SPORTS,4.0,55889087.0
SPORTS,3.0,88020.0
SPORTS,2.0,553.0
SOCIAL,5.0,17786455.0
SOCIAL,4.0,603449511.0
SOCIAL,3.0,5072.0
SOCIAL,2.0,53.0
SHOPPING,5.0,36957415.0
SHOPPING,4.0,78040581.0
SHOPPING,3.0,42960.0
SHOPPING,2.0,77.0
PRODUCTIVITY,5.0,34086092.0
PRODUCTIVITY,4.0,80000783.0
PRODUCTIVITY,3.0,29597.0
PRODUCTIVITY,2.0,244.0
PRODUCTIVITY,1.0,1.0
PHOTOGRAPHY,5.0,27327082.0
PHOTOGRAPHY,4.0,186159644.0
PHOTOGRAPHY,3.0,28579.0
PHOTOGRAPHY,2.0,1302.0
PERSONALIZATION,5.0,53035600.0
PERSONALIZATION,4.0,36308789.0
PERSONALIZATION,3.0,1001.0
PERSONALIZATION,2.0,6.0
PARENTING,5.0,783496.0
PARENTING,4.0,169987.0
PARENTING,3.0,103.0
PARENTING,2.0,23.0
NEWS_AND_MAGAZINES,5.0,2011236.0
NEWS_AND_MAGAZINES,4.0,52337519.0
NEWS_AND_MAGAZINES,3.0,48458.0
NEWS_AND_MAGAZINES,2.0,2686.0
MEDICAL,5.0,1169879.0
MEDICAL,4.0,403961.0
MEDICAL,3.0,11382.0
MEDICAL,2.0,396.0
MEDICAL,1.0,4.0
MAPS_AND_NAVIGATION,5.0,14711504.0
MAPS_AND_NAVIGATION,4.0,15933639.0
MAPS_AND_NAVIGATION,3.0,13738.0
MAPS_AND_NAVIGATION,2.0,179.0
LIFESTYLE,5.0,4354641.0
LIFESTYLE,4.0,8447855.0
LIFESTYLE,3.0,74916.0
LIFESTYLE,2.0,4357.0
LIBRARIES_AND_DEMO,5.0,10059.0
LIBRARIES_AND_DEMO,4.0,997238.0
LIBRARIES_AND_DEMO,3.0,6093.0
HOUSE_AND_HOME,5.0,1534204.0
HOUSE_AND_HOME,4.0,2436778.0
HOUSE_AND_HOME,3.0,5022.0
HEALTH_AND_FITNESS,5.0,21532416.0
HEALTH_AND_FITNESS,4.0,16313314.0
HEALTH_AND_FITNESS,3.0,46731.0
HEALTH_AND_FITNESS,2.0,1116.0
HEALTH_AND_FITNESS,1.0,45.0
GAME,5.0,431879786.0
GAME,4.0,1153025646.0
GAME,3.0,513338.0
GAME,2.0,773.0
GAME,1.0,34.0
FOOD_AND_DRINK,5.0,3111906.0
FOOD_AND_DRINK,4.0,5637722.0
FOOD_AND_DRINK,3.0,133350.0
FOOD_AND_DRINK,2.0,31.0
FINANCE,5.0,6173387.0
FINANCE,4.0,10962603.0
FINANCE,3.0,413238.0
FINANCE,2.0,1129.0
FINANCE,1.0,49.0
FAMILY,5.0,128058131.0
FAMILY,4.0,281262506.0
FAMILY,3.0,883224.0
FAMILY,2.0,19037.0
FAMILY,1.0,4.0
EVENTS,5.0,13863.0
EVENTS,4.0,146720.0
EVENTS,3.0,7.0
ENTERTAINMENT,5.0,2716425.0
ENTERTAINMENT,4.0,56321993.0
ENTERTAINMENT,3.0,139736.0
EDUCATION,5.0,33477321.0
EDUCATION,4.0,6117689.0
DATING,5.0,34635.0
DATING,4.0,7180385.0
DATING,3.0,62127.0
DATING,2.0,13891.0
DATING,1.0,1.0
COMMUNICATION,5.0,11479239.0
COMMUNICATION,4.0,803972858.0
COMMUNICATION,3.0,9370.0
COMMUNICATION,2.0,327.0
COMMUNICATION,1.0,5.0
COMICS,5.0,128530.0
COMICS,4.0,3126072.0
COMICS,3.0,127343.0
BUSINESS,5.0,1139022.0
BUSINESS,4.0,12775889.0
BUSINESS,3.0,38877.0
BUSINESS,2.0,297.0
BUSINESS,1.0,1.0
BOOKS_AND_REFERENCE,5.0,12355540.0
BOOKS_AND_REFERENCE,4.0,9591160.0
BOOKS_AND_REFERENCE,3.0,11960.0
BEAUTY,5.0,118706.0
BEAUTY,4.0,276387.0
BEAUTY,3.0,40.0
AUTO_AND_VEHICLES,5.0,494360.0
AUTO_AND_VEHICLES,4.0,668863.0
AUTO_AND_VEHICLES,3.0,324.0
AUTO_AND_VEHICLES,2.0,83.0
ART_AND_DESIGN,5.0,540777.0
ART_AND_DESIGN,4.0,1173054.0
ART_AND_DESIGN,3.0,486.0
